,v0,,,,,,,,,,,,,,,,,,,,,v1,,,,,,,,,,,,,,,,,,,,,v2,,,,,,,,,,,,,,,,,,,,,v3,,,,,,,,,,,,,,,,,,,,,v4,,,,,,,,,,,,,,,,,,,,
,Llama3.1-8B,,,Llama3.3-70B,,,Qwen2.5-7B,,,Qwen3-30B,,,GPT-4o,,,Grok-3,,,DeepSeek-R1,,,Llama3.1-8B,,,Llama3.3-70B,,,Qwen2.5-7B,,,Qwen3-30B,,,GPT-4o,,,Grok-3,,,DeepSeek-R1,,,Llama3.1-8B,,,Llama3.3-70B,,,Qwen2.5-7B,,,Qwen3-30B,,,GPT-4o,,,Grok-3,,,DeepSeek-R1,,,Llama3.1-8B,,,Llama3.3-70B,,,Qwen2.5-7B,,,Qwen3-30B,,,GPT-4o,,,Grok-3,,,DeepSeek-R1,,,Llama3.1-8B,,,Llama3.3-70B,,,Qwen2.5-7B,,,Qwen3-30B,,,GPT-4o,,,Grok-3,,,DeepSeek-R1,,
Method,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2,env0,env1,env2
no-memory,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.3000,,,,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,,,,0.0000,0.0500,0.0000,0.2500,0.0000,0.0000,0.1000,0.0000,,,,,0.1000,0.0000,0.0000,,,,,,,,,,0.4000,0.0000,0.0000,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000
vanilla,0.6500,0.0000,0.0000,0.8500,0.0000,0.0000,0.8500,0.0000,0.0000,0.8500,0.0000,0.0000,0.8000,0.8000,0.0000,0.8500,0.0000,0.0000,0.8000,0.0000,0.0000,,,,0.8500,0.8500,0.0000,1.0000,0.0000,0.0000,,,,0.8500,0.0000,0.0000,1.0000,0.7500,0.0000,0.8500,0.0000,,,,,0.8500,0.8000,0.0000,,,,,,,,,,0.8500,0.0000,0.0000,,,,,,,0.8000,0.0000,0.0000,0.7500,0.0000,0.0000,0.7500,0.0000,0.0000,0.7500,0.0000,0.8500,0.7500,0.0000,0.0000,0.8000,0.8500,0.8000,,,,0.8000,0.8000,0.0000,0.8000,0.0000,0.0000,0.8000,0.8500,0.0000,0.6500,0.0000,0.0000,0.8000,0.9000,0.0000,0.7500,0.0000,0.9500
vanilla-glove,0.5000,0.8000,0.6500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8000,0.8000,0.8500,0.7500,0.8500,0.8000,0.8500,0.9000,0.8500,,,,0.8500,0.8000,0.7500,1.0000,0.8000,0.7500,,,,0.8000,0.7500,0.8000,0.9000,0.8000,0.7000,1.0000,0.7000,0.8000,,,,0.9000,0.8000,0.8000,,,,,,,,,,1.0000,0.7500,0.8000,,,,,,,0.8000,0.8000,0.7500,0.8000,0.7500,0.8000,0.7500,0.8000,0.8500,0.8000,0.8500,0.8000,0.7000,0.8000,0.8500,0.6000,0.8500,0.9500,,,,0.8000,0.8000,0.8500,0.8500,0.7500,0.9000,0.8500,0.8500,0.9000,0.7000,0.7000,0.8500,0.8000,0.8000,0.9000,0.6500,0.8500,0.8500
memorybank,0.8500,0.4000,0.3000,0.8500,0.0000,0.5500,0.8500,0.0000,0.0500,0.8500,0.0000,0.9000,0.9000,0.8000,0.5500,0.9000,0.9500,0.0000,0.8500,0.0000,0.0000,,,,0.9000,0.8500,0.0000,1.0000,0.2500,0.0000,,,,0.8000,0.0000,0.4500,0.9500,0.7000,0.0000,1.0000,0.7500,0.0000,,,,0.8500,0.6000,0.0000,,,,,,,,,,0.9500,0.8500,0.0000,,,,,,,0.8000,0.0500,0.5000,0.8000,0.0000,0.7000,0.7500,0.6000,0.7000,0.8000,0.4000,0.8000,0.7000,0.3000,0.2500,0.7000,0.0000,0.8500,,,,0.8000,0.8000,0.6500,0.8500,0.2500,0.1000,0.8500,0.8500,0.7500,0.6500,0.3500,0.3000,0.8000,0.8500,0.3000,0.9000,0.8500,0.4000
memorybank-glove,0.6500,0.6500,0.7000,0.8000,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8000,0.7500,0.9000,0.8500,0.8500,0.8000,0.9000,0.9000,,,,0.8500,0.8500,0.7500,1.0000,0.8000,0.7500,,,,0.8000,0.7000,0.6500,0.9500,0.6500,0.8000,1.0000,0.8500,,,,,0.8500,0.8000,0.7000,,,,,,,,,,1.0000,0.8000,0.7500,,,,,,,0.8000,0.8000,0.8000,0.6500,0.8000,0.8500,0.7000,0.7500,0.8500,0.9000,0.7000,0.8500,0.8000,0.8000,0.9000,0.7000,0.8000,0.8000,,,,0.8000,0.8000,0.9000,0.8500,0.7000,0.9500,0.8500,0.8500,0.9500,0.6500,0.8000,0.8500,0.7000,0.8000,0.9500,0.8000,0.8500,0.8000
voyager,0.1500,0.0000,0.0000,0.8500,0.0000,0.0000,0.8500,0.0000,0.0000,0.8500,0.0000,0.0000,0.8500,0.8000,0.0000,0.7500,0.0000,0.0000,0.8500,0.8500,0.0000,,,,0.8500,0.8500,0.0000,1.0000,0.0000,0.0000,,,,0.8500,0.0000,0.0000,0.9500,0.9500,0.0000,0.9500,,,,,,0.8500,0.0000,0.0000,,,,,,,,,,1.0000,0.7000,0.0000,,,,,,,0.8000,0.0000,0.0000,0.8000,0.0000,0.0000,0.7500,0.0000,0.0000,0.8000,0.8500,0.8500,0.6500,0.0000,0.0000,0.8000,0.0000,0.0000,,,,0.8000,0.8000,0.0000,0.8000,0.0000,0.0000,0.8500,0.8500,0.0000,0.7500,0.0000,0.1000,0.7500,0.0000,0.0000,0.7500,0.0000,0.9000
voyager-glove,0.5500,0.6000,0.5000,0.9500,0.8500,0.8500,0.8000,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8000,0.8000,0.9000,0.9000,0.8000,0.8000,0.8500,0.8500,,,,0.8500,0.8500,0.7500,1.0000,0.7500,0.5000,,,,0.8500,0.8500,0.7500,0.8500,0.7000,0.6500,0.9500,,,,,,0.9000,0.8000,0.7000,,,,,,,,,,0.9500,0.7500,0.7000,,,,,,,0.8000,0.8000,0.8000,0.7500,0.6500,0.8500,0.7500,0.8000,0.8500,0.7500,0.8000,0.8500,0.6000,0.8000,0.8500,0.6500,0.8500,0.8000,,,,0.8000,0.8000,0.8500,0.9000,0.7000,0.9000,0.8500,0.8500,0.9000,0.7500,0.8500,0.8500,0.8000,0.8000,0.8500,0.8500,0.7000,0.8500
generative,0.2000,0.0000,0.0000,0.9000,0.0000,0.8500,0.8500,0.0000,0.0000,0.8500,0.0000,0.0000,0.8500,0.8000,0.0000,0.9000,0.9000,0.0000,0.8000,0.0000,0.0000,,,,0.8500,0.8000,0.0000,1.0000,0.0000,0.0000,,,,0.8000,0.1500,0.0000,0.9500,0.0000,0.4500,0.9500,,,,,,0.8500,0.8000,0.0000,,,,,,,,,,0.9000,0.0000,0.2500,,,,,,,0.8000,0.0000,0.0000,0.7000,0.0000,0.0000,0.7000,0.0000,0.0000,0.7000,0.0000,0.8500,0.8500,0.0000,0.0000,0.9000,0.7500,,,,,0.7500,0.8000,0.0000,0.8000,0.4000,0.0000,0.8500,0.8500,0.0000,0.7500,0.0000,0.2500,0.9500,0.8000,0.0000,0.8000,,
generative-glove,0.3500,0.3500,0.4500,0.9000,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8000,0.8000,0.8000,0.9000,0.8000,0.8500,0.8000,0.9000,0.8500,,,,0.8500,0.8000,0.7000,1.0000,0.8000,0.7500,,,,0.8000,0.8000,0.8500,0.9500,0.8500,0.7000,0.9500,,,,,,0.9500,0.8000,0.8000,,,,,,,,,,1.0000,0.8000,0.7000,,,,,,,0.8000,0.8000,0.8000,0.8000,0.7500,0.8500,0.7500,0.8000,0.8500,0.8500,0.8000,0.8500,0.8000,0.8000,0.8500,0.8000,0.8000,0.9000,,,,0.8000,0.8000,0.8500,0.8500,0.7500,0.9000,0.8500,0.8000,0.9000,0.7500,0.8500,0.8500,0.8500,0.8000,0.9000,0.8000,0.8500,0.9000
